pedido_id,date_id,data,horario,endereco,pizza_id,pizza,quantidade,valor_total
1,40,2024-02-09,19:50:00,"Quadra da Costa, 53, Leticia, 93415047 Novais / PE",9,Chocolate,3,134.7
2,39,2024-02-08,19:30:00,"Estrada da Mata, 381, Alpes, 06537-013 Rodrigues / AC",2,Calabresa,2,85.8
3,32,2024-02-01,22:40:00,"Parque Moraes, 4, Maria Tereza, 45473-867 Monteiro / MS",10,Banana com Canela,2,87.8
4,3,2024-01-03,22:20:00,"Estação de Souza, 8, Santa Amelia, 47509939 Cavalcante de Cunha / DF",1,Margherita,2,79.8
5,76,2024-03-16,23:50:00,"Praça Enzo Gabriel Vasconcelos, 6, Cenaculo, 31041728 Macedo / MS",2,Calabresa,2,85.8
6,1,2024-01-01,22:00:00,"Esplanada Caldeira, 19, Conjunto São Francisco De Assis, 85579-326 Machado de Pereira / MA",8,Vegetariana,2,95.8
7,19,2024-01-19,20:10:00,"Loteamento de Macedo, Vila Madre Gertrudes 3ª Seção, 29112723 Castro / MS",10,Banana com Canela,2,87.8
8,24,2024-01-24,22:20:00,"Loteamento Arthur Gabriel Machado, 35, Camponesa 1ª Seção, 91119-783 Sampaio de Câmara / PR",4,Portuguesa,2,93.8
9,1,2024-01-01,20:10:00,"Pátio Eloah Guerra, 6, Vila Formosa, 79157-218 da Cunha de Costela / RS",1,Margherita,1,39.9
10,22,2024-01-22,20:40:00,"Passarela Nascimento, Santa Inês, 50638626 Silveira / PI",1,Margherita,2,79.8
11,39,2024-02-08,22:40:00,"Parque Souza, 65, Embaúbas, 24072065 Correia do Norte / PE",10,Banana com Canela,1,43.9
12,6,2024-01-06,20:20:00,"Via de Melo, 48, Vila Maria, 37196713 Lima / AL",4,Portuguesa,2,93.8
13,48,2024-02-17,20:40:00,"Campo Sales, Vitoria, 44082923 Costa / AM",6,Quatro Queijos,2,97.8
14,15,2024-01-15,18:30:00,"Conjunto de Cunha, 90, Pantanal, 84765500 Silva / GO",6,Quatro Queijos,3,146.7
15,16,2024-01-16,21:20:00,"Trevo de Silveira, 47, Flavio Marques Lisboa, 87808215 Rios / SP",8,Vegetariana,3,143.7
16,51,2024-02-20,18:30:00,"Viela Eloah Fonseca, 65, Vila Santo Antônio Barroquinha, 08665-910 Abreu de Ramos / SC",8,Vegetariana,2,95.8
17,40,2024-02-09,21:30:00,"Setor de Câmara, Vila Aeroporto, 85293-356 Abreu de da Mata / RJ",10,Banana com Canela,2,87.8
18,41,2024-02-10,22:10:00,"Chácara Siqueira, 14, Floresta, 66646666 Viana Grande / RS",9,Chocolate,1,44.9
19,85,2024-03-25,22:10:00,"Quadra Raul Camargo, 804, Santa Cruz, 91109-640 Albuquerque da Mata / PB",3,Mussarela,3,125.7
20,61,2024-03-01,18:20:00,"Quadra Correia, 89, Ipe, 14443-198 Lima / PR",9,Chocolate,3,134.7
21,35,2024-02-04,23:00:00,"Viaduto de Gomes, 30, Conjunto Paulo Vi, 75221-285 Pastor Alegre / CE",6,Quatro Queijos,1,48.9
22,37,2024-02-06,23:40:00,"Parque de da Rocha, 19, Vila Da Ária, 32526771 Moreira de da Paz / RN",7,Pepperoni,2,105.8
